GO	[-1.00 -0.96]	[-0.96 -0.83]	[-0.83 -0.33]	[-0.33 0.00]	[0.00 0.00]	[0.00 0.36]	[0.36 0.80]	[0.80 0.95]	[0.95 1.00]	[1.00 1.00]	[1.00 1.10]
GOMF_ODORANT_BINDING GOMF_ODORANT_BINDING	-1.507	-2.735	-3.737	-3.737	45.742	-3.737	-3.737	-3.737	-1.507	-3.737	3.420
GOCC_KERATIN_FILAMENT GOCC_KERATIN_FILAMENT	-1.199	-0.577	-0.843	-3.279	28.370	-2.328	-1.199	-1.199	-1.676	-1.199	0.370
GOCC_RIBOSOMAL_SUBUNIT GOCC_RIBOSOMAL_SUBUNIT	-3.618	-1.175	-4.287	-5.082	5.126	-5.082	-0.447	1.312	2.036	10.542	-0.934
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	-1.254	-1.740	-3.363	-2.401	-1.740	-1.740	2.232	1.209	0.701	0.502	7.604
GOBP_SCF_DEPENDENT_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS GOBP_SCF_DEPENDENT_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	4.160	0.278	-0.326	-2.586	-3.571	-1.902	3.206	0.595	-1.393	-0.711	1.061
GOBP_RESPONSE_TO_CHEMOKINE GOBP_RESPONSE_TO_CHEMOKINE	-1.127	-0.572	1.169	9.742	-2.772	-0.391	-0.813	-1.127	0.504	-0.391	-1.120
GOMF_SYMPORTER_ACTIVITY GOMF_SYMPORTER_ACTIVITY	-1.370	0.881	0.395	-1.741	-5.405	5.849	-0.321	0.395	-0.814	-0.321	1.102
GOCC_VACUOLAR_LUMEN GOCC_VACUOLAR_LUMEN	-0.693	-0.890	-1.125	-0.399	-2.573	3.991	7.084	-0.293	-0.531	-1.125	-0.881
GOCC_TERTIARY_GRANULE GOCC_TERTIARY_GRANULE	-1.341	-0.494	0.337	0.451	-1.662	1.822	8.355	-1.069	-0.650	-0.840	-1.649
GOMF_SNARE_BINDING GOMF_SNARE_BINDING	-2.537	1.028	0.611	-1.121	-4.362	4.733	0.312	0.447	0.312	-0.830	0.452
GOMF_ANION_CHANNEL_ACTIVITY GOMF_ANION_CHANNEL_ACTIVITY	5.020	-1.281	-0.427	0.484	-3.404	-0.911	0.679	-0.278	-0.911	2.181	-1.273
GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION_OF_STAT_PROTEIN GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION_OF_STAT_PROTEIN	0.217	-0.912	0.490	-0.912	8.202	-0.912	-0.912	-0.406	-0.912	-0.406	0.218
HP_LIPID_ACCUMULATION_IN_HEPATOCYTES HP_LIPID_ACCUMULATION_IN_HEPATOCYTES	0.279	-1.711	-1.279	1.860	-4.029	-0.678	2.206	2.206	0.279	0.412	-0.672
GOMF_ANTIOXIDANT_ACTIVITY GOMF_ANTIOXIDANT_ACTIVITY	-1.581	-3.155	-1.118	0.598	-1.581	2.097	2.503	1.388	0.412	-0.776	0.267
