GO	[-1.00 -1.00]	[-1.00 -0.92]	[-0.92 -0.79]	[-0.79 -0.58]	[-0.58 -0.11]	[-0.11 0.08]	[0.08 0.54]	[0.54 0.77]	[0.77 0.93]	[0.93 1.00]	[1.00 1.10]
GOMF_ODORANT_BINDING GOMF_ODORANT_BINDING	-0.377	-0.555	-2.735	-2.735	-3.737	36.452	-3.737	-3.737	-2.735	-1.507	1.503
GOCC_CYTOSOLIC_RIBOSOME GOCC_CYTOSOLIC_RIBOSOME	-3.147	-0.373	-0.753	-3.147	-4.196	3.600	-3.147	-0.537	3.600	3.600	1.146
GOCC_KERATIN_FILAMENT GOCC_KERATIN_FILAMENT	1.950	-0.244	-0.244	-3.279	-0.843	7.151	-0.843	-1.199	-2.328	-0.843	1.003
GOCC_RESPIRASOME GOCC_RESPIRASOME	-0.633	-1.773	-0.911	-1.281	-0.911	-3.404	0.326	2.580	3.471	3.011	-0.628
GOMF_TYPE_I_INTERFERON_RECEPTOR_BINDING GOMF_TYPE_I_INTERFERON_RECEPTOR_BINDING	10.333	-0.704	-0.704	-0.704	-0.704	-0.704	-0.273	-0.273	-0.704	0.332	-0.702
GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY	0.337	0.915	1.112	3.761	1.112	-0.268	0.585	-2.041	-1.662	-3.012	-2.027
GOCC_LATE_ENDOSOME_MEMBRANE GOCC_LATE_ENDOSOME_MEMBRANE	-2.544	0.627	-1.233	-1.233	-0.377	-1.233	6.314	1.245	-0.524	-0.377	0.478
GOBP_TRANSLATIONAL_ELONGATION GOBP_TRANSLATIONAL_ELONGATION	1.087	-0.344	0.262	-1.165	0.515	-5.030	-1.165	-0.661	0.376	1.596	2.561
GOCC_FICOLIN_1_RICH_GRANULE_LUMEN GOCC_FICOLIN_1_RICH_GRANULE_LUMEN	-1.121	-1.121	-1.121	-0.456	-2.385	-1.459	3.397	2.633	0.914	1.138	-0.451
HP_LYMPHOPENIA HP_LYMPHOPENIA	0.543	1.427	2.033	0.543	0.543	-4.529	0.392	0.543	-1.215	-1.596	-0.662
GOBP_NCRNA_TRANSCRIPTION GOBP_NCRNA_TRANSCRIPTION	-2.959	0.793	1.579	2.252	-0.919	0.793	-1.681	1.025	-0.462	-1.681	-0.309
GOMF_SYMPORTER_ACTIVITY GOMF_SYMPORTER_ACTIVITY	4.014	-0.449	1.092	1.585	-1.370	-2.191	-1.741	-0.321	0.533	-0.321	-1.055
HP_ABNORMALLY_LAX_OR_HYPEREXTENSIBLE_SKIN HP_ABNORMALLY_LAX_OR_HYPEREXTENSIBLE_SKIN	0.731	-0.424	0.419	-0.779	-0.581	-5.322	2.938	-0.424	-0.301	0.731	0.569
GOBP_RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ENDOPLASMIC_RETICULUM GOBP_RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ENDOPLASMIC_RETICULUM	1.769	-1.309	0.313	-0.442	-1.805	-3.446	2.131	0.313	0.883	-0.289	0.472
GOMF_ARACHIDONIC_ACID_EPOXYGENASE_ACTIVITY GOMF_ARACHIDONIC_ACID_EPOXYGENASE_ACTIVITY	3.053	-0.199	-0.580	-0.580	3.053	-0.580	-0.580	-0.580	-0.580	-0.199	-0.578
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	0.752	1.510	0.479	1.510	2.547	-1.369	-2.389	-1.369	-2.000	0.369	-0.553
GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION	1.320	-1.866	-1.124	0.409	1.320	-1.124	2.205	0.226	-1.866	0.409	-0.389
GOCC_HETEROCHROMATIN GOCC_HETEROCHROMATIN	-2.489	1.740	0.756	-0.452	-0.715	-0.452	-2.489	0.519	-0.452	0.756	1.750
HP_DECREASED_NUMBER_OF_PERIPHERAL_MYELINATED_NERVE_FIBERS HP_DECREASED_NUMBER_OF_PERIPHERAL_MYELINATED_NERVE_FIBERS	-1.575	-0.893	1.278	2.781	0.898	0.898	-0.501	-0.893	-0.266	-1.575	-0.498
GOMF_CXCR_CHEMOKINE_RECEPTOR_BINDING GOMF_CXCR_CHEMOKINE_RECEPTOR_BINDING	-0.704	-0.273	-0.273	0.706	5.289	-0.273	-0.704	-0.704	-0.704	-0.704	0.333
GOBP_LIPOSACCHARIDE_METABOLIC_PROCESS GOBP_LIPOSACCHARIDE_METABOLIC_PROCESS	-1.462	-0.411	-0.585	0.461	-0.411	-1.920	3.858	1.907	-0.411	-1.462	0.636
